******************************************************** DEPRECATED ITKs REPORT ************************************
Artifact type,Deprecated Artifact,Header File,Replacement Artifact,Deprecated In,Removal Targeted In
ITK function,AOM_save,tccore/aom.h,AOM_save_with_extensions or AOM_save_without_extensions,11.2,2712
Macro,ATT0ATTRTARGETMGMT_output_min_max_goal_not_modifiable,Att0attrtargetmgmt/att0attrtargetmgmt_errors.h,No replacement,11.5,2712
API,BOM_effectivity_info,bom/bom_tokens.h,No replacement,2512,2912
ITK function,BOM_get_line_occ_eff_info,bom/bom.h,No replacement,2512,2912
API,BOM_occ_effectivity_info,bom/bom_tokens.h,No replacement,2512,2912
ITK function,BOM_set_line_occ_eff_formula,bom/bom.h,No replacement,2512,2912
Macro,CFG0CONFIGURATOR_invalid_payload_expression_for_default_rule,Cfg0configurator/cfg0configurator_errors.h,CFG0CONFIGURATOR_invalid_subject_expression_for_rule,11.2.3,2712
Macro,CFG0CONFIGURATOR_missing_payload_for_rule,Cfg0configurator/cfg0configurator_errors.h,CFG0CONFIGURATOR_missing_subject_for_rule,11.2.3,2712
Macro,CFG0CONFIGURATOR_same_payload_and_applicability_not_supported,Cfg0configurator/cfg0configurator_errors.h,CFG0CONFIGURATOR_same_subject_and_applicability_not_supported,11.2.3,2712
Macro,CFG_CONFIGURATOR_module_allocation,booleanmath/cfg_tokens.h,CFG_CONFIGURATOR_constraint_module_allocation,2312,2712
Macro,CFG_CONFIGURATOR_system_default_severity,booleanmath/cfg_tokens.h,CFG_CONFIGURATOR_Init_Empty_Severity,12.3,2712
Macro,CFG_CONFIGURATOR_user_default_severity,booleanmath/cfg_tokens.h,CFG_CONFIGURATOR_default_severity,12.3,2712
API,CFG_configuration_status,Cfg0configurator/cfg0configurator.h,No replacement,2406,2712
Macro,CFG_operator_expanded_criteria,booleanmath/cfg_tokens.h,CFG_operator_rule_set,11.6,2712
ITK function,CLA_get_classification_level,Cla0classification/cla_itk.h,No replacement,14.3,2712
ITK function,CLS_create_view_definitions,Cls0classification/cls_itk.h,CLA_import_classification_definitions,2506,2712
ITK function,CLS_delete_class_definitions,Cls0classification/cls_itk.h,CLA_delete_classification_definitions,2506,2712
ITK function,CLS_delete_classification_definitions,Cls0classification/cls_itk.h,CLA_delete_classification_definitions,2506,2712
ITK function,CLS_delete_classification_objects,Cls0classification/cls_itk.h,CLA_delete_classification_objects,2506,2712
ITK function,CLS_delete_keylov_definitions,Cls0classification/cls_itk.h,CLA_delete_classification_definitions,2506,2712
ITK function,CLS_delete_node_definitions,Cls0classification/cls_itk.h,CLA_delete_classification_definitions,2506,2712
ITK function,CLS_delete_property_definitions,Cls0classification/cls_itk.h,CLA_delete_classification_definitions,2506,2712
ITK function,CLS_delete_view_definitions,Cls0classification/cls_itk.h,CLA_delete_classification_definitions,2506,2712
ITK function,CLS_get_classification_properties,Cls0classification/cls_itk.h,CLA_get_classification_objects,2506,2712
ITK function,CLS_get_dependent_keylov_attributes,Cls0classification/cls_itk.h,CLA_get_dependent_keylov_attributes,2506,2712
ITK function,CLS_import_classification_definitions,Cls0classification/cls_itk.h,CLA_import_classification_definitions,2506,2712
ITK function,CLS_save_class_definitions,Cls0classification/cls_itk.h,CLA_import_classification_definitions,2506,2712
ITK function,CLS_save_classification_objects,Cls0classification/cls_itk.h,CLA_save_classification_objects,2506,2712
ITK function,CLS_save_keylov_definitions,Cls0classification/cls_itk.h,CLA_import_classification_definitions,2506,2712
ITK function,CLS_save_node_definitions,Cls0classification/cls_itk.h,CLA_import_classification_definitions,2506,2712
ITK function,CLS_save_property_definitions,Cls0classification/cls_itk.h,CLA_import_classification_definitions,2506,2712
ITK function,CLS_search_classification_definitions,Cls0classification/cls_itk.h,CLA_search_classification_definitions,2506,2712
ITK function,CLS_update_status_on_objects,Cls0classification/cls_itk.h,CLA_update_status_on_objects,2506,2712
Macro,CONTMGMTBASE_duplicate_sequence_number,contmgmtbase/contmgmtbase_errors.h,CONTMGMTBASE_duplicate_sequence_number_and_occurrence,11.5,2712
Macro,CONTMGMTBASE_missing_sequence_number,contmgmtbase/contmgmtbase_errors.h,CONTMGMTBASE_missing_sequence_number_and_occurrence,11.5,2712
Macro,CST_err_eclass_license_missing,Cst0classification/cst_errors.h,No replacement,13.2,2712
API,CUMITKINPUTBASE,qry/CrfCumParamStruct.hxx,CustomReportInputBase,2512,2912
ITK function,DIA0_find_diagrams,Dia0diagramming/dia0diagramming.h,No replacement,2606,2912
ITK function,DIA0_query_sheet_elements_associated_with,Dia0diagramming/dia0diagramming.h,No replacement,2606,2912
ITK function,DIA0_query_sheet_elements_not_associated,Dia0diagramming/dia0diagramming.h,No replacement,2606,2912
ITK function,DIA0_query_unassociated_partitioned_elements,Dia0diagramming/dia0diagramming.h,No replacement,2606,2912
ITK function,ETS_create_request,dispatcher/dispatcher_itk.h,No replacement,2512,2912
ITK function,ETS_create_request2,dispatcher/dispatcher_itk.h,No replacement,2512,2912
ITK function,ETS_find_request_by_tag,dispatcher/dispatcher_itk.h,No replacement,2512,2912
ITK function,ETS_is_final_state,dispatcher/dispatcher_itk.h,No replacement,2512,2912
ITK function,ETS_query_requests,dispatcher/dispatcher_itk.h,No replacement,2512,2912
ITK function,FND0CONFIGBASELINEMGMT_close_configuration_baseline,Fnd0configbaselinemgmt/fnd0configurationbaselinemgmt.h,FND0CONFIGBASELINEMGMT_close_configuration_baseline2,2412,2712
ITK function,ICS_attribute_ask_reference_props,ics/ics2.h,No replacement,2312,2712
ITK function,ICS_class_ask_mapping_sources,ics/ics2.h,No replacement,12.2,2712
ITK function,ICS_classify_wsobject,ics/ics.h,ICS_ico_create2,14.1,2712
ITK function,ICS_create_classification_object,ics/ics.h,ICS_ico_create2,14.1,2712
ITK function,ICS_describe_view,ics/ics.h,ICS_view_describe_view,11.4,2712
ITK function,ICS_xml_ask_children,ics/ics.h,PLMXML,11.2.3,2712
ITK function,ICS_xml_export,ics/ics.h,PLMXML,11.2.3,2712
ITK function,ICS_xml_import,ics/ics.h,PLMXML,11.2.3,2712
ITK function,ICS_xml_register_hook,ics/ics.h,PLMXML,11.2.3,2712
ITK function,ITK__initialise_tc,tcinit/tcinit.h,No replacement,2406,2712
ITK function,LDF_sync_ldf_status,Lis0lisfmwrk/lis_factory.h,LDF-sync-ldf-status workflow handler,11.5,2712
ITK function,MDC_create_or_update_ordered_element_groups,Mdc0mdc/mdc0mdc.h,No replacement,2606,2912
ITK function,MDC_find_all_connections_on_port,Mdc0mdc/mdc0mdc.h,No replacement,2606,2912
ITK function,MDC_find_all_model_elements_of_connection,Mdc0mdc/mdc0mdc.h,No replacement,2606,2912
ITK function,MDC_find_connections_on_port,Mdc0mdc/mdc0mdc.h,No replacement,2606,2912
ITK function,MDC_find_parent_groups,Mdc0mdc/mdc0mdc.h,No replacement,2606,2912
ITK function,MDC_find_ports,Mdc0mdc/mdc0mdc.h,No replacement,2606,2912
ITK function,MDC_find_ports_groups,Mdc0mdc/mdc0mdc.h,No replacement,2606,2912
ITK function,MDC_get_all_cegs_in_partition,Mdc0mdc/mdc0mdc.h,No replacement,2606,2912
ITK function,MDC_get_conditional_element_groups,Mdc0mdc/mdc0mdc.h,No replacement,2606,2912
ITK function,MDC_get_conditional_element_groups_with_elements,Mdc0mdc/mdc0mdc.h,No replacement,2606,2912
ITK function,MDC_get_identity,Mdc0mdc/mdc0mdc.h,No replacement,2606,2912
ITK function,MDC_get_ordered_element_groups,Mdc0mdc/mdc0mdc.h,No replacement,2606,2912
ITK function,MDC_insert_connection_element,Mdc0mdc/mdc0mdc.h,No replacement,2606,2912
ITK function,MDC_insert_ordered_element_group_elements,Mdc0mdc/mdc0mdc.h,No replacement,2606,2912
ITK function,MDC_query_ordered_element_group_by_partition,Mdc0mdc/mdc0mdc.h,No replacement,2606,2912
