aw_release;category;area;topic;feature
06. Jan;Deliver;Analytics;Classification;Update released classification definition objects
06. Jan;Deliver;Analytics;Search and Analytics - Reporting and Analytics;Dashboard reports for structures and related content
06. Jan;Deliver;Analytics;Search and Analytics - Search;Search content inside zip files directly from Active Workspace
06. Jan;Deliver;Materials;Integrated Material Management;Leverage Materials Management capabilities on Active Workspace
06. Jan;Deliver;Service;Service Engineering;Create lot
06. Jan;Deliver;Service;Service Engineering;Preserve quantity in service structure
06. Jan;Deliver;Service;Service Engineering;Pack and unpack neutral structure independently from service structure
06. Jan;Deliver;Service;Service Engineering;Rebase part alignment more easily with additional attributes and values
06. Jan;Develop;Electronics;Design Management;Device effectivity configuration management
06. Jan;Develop;Simulation;Simulation Process Management;Physical test results management and Simcenter Testlab integration
06. Jan;Develop;Simulation;Simulation Process Management;Simcenter System Architect Parameter Management and Execute Analysis in Batch
06. Jan;Develop;Simulation;Simulation Process Management;Simcenter System Simulation Client for Git workflow enhancements
06. Jan;Develop;Simulation;Simulation Process Management;Simcenter System Architect Miscellaneous Usability Improvements
06. Jan;Develop;Visualization;Visualization - Usability;Visualize worksets in Active Workspace and Teamcenter Visualization
06. Jan;Develop;Visualization;Visualization - Usability;See viewer update in real-time during Smart Discovery filtering operations
06. Jan;Develop;Visualization;Visualization - Usability;Loading structure faster into both Active Workspace and Teamcenter Visualization
06. Jan;Develop;Visualization;Visualization - Usability;Just-in-time data loading for Server-Side Rendering
06. Jan;Develop;Visualization;Visualization - Usability;Load and interact with data more quickly using Client-Side Rendering
06. Jan;Foundation;Extensibility;Platform - Active Workspace Framework - Extensibility;Auto resolve Item-ID collisions during supplier data exchange
06. Jan;Foundation;Industry Solutions;Teamcenter X Industry Solution;Introducing PLM for Component Manufacturers on Teamcenter X
06. Jan;Foundation;Industry Solutions;Teamcenter X Industry Solution;Medical Devices Labeling Solution
06. Jan;Foundation;Industry Solutions;Teamcenter X Industry Solution;ECAD integrations, improvements to workflows and streamlined user experience on Teamcenter X
06. Jan;Plan;Bill of Materials;Design BOM Alignment;Automation enhancements on Design BOM alignment coordinated authoring and updates
06. Jan;Plan;Bill of Materials;Design BOM Alignment;Management of mechanical, electrical, electronics and software parts in Engineering Bill of Material
06. Jan;Plan;Bill of Materials;Design BOM Alignment;EBOM integration with material, supplier, partner connect and change management
06. Jan;Plan;Bill of Materials;Design BOM Alignment;EBOM maturity management and engineering change package validation execution
06. Jan;Plan;Bill of Materials;Partitions;Specify primary partitions, Find within partitions, and Duplicate partitions within structure
06. Jan;Plan;Bill of Materials;Smart Discovery;Manage multiple work contexts with a Workset
06. Jan;Plan;Bill of Materials;Structure Management;Configuration and custom hooks and multi-level update of solution variants
06. Jan;Plan;Configuration;Product Configuration;Product Configurator usability improvements
06. Jan;Plan;Process;Change Management;Track Engineering and Assembly BOM effectivity cutbacks with BOM redlines and in Change summary
06. Jan;Plan;Process;Schedule Manager;Notification and subscription support for schedule and schedule task events in Active Workspace
06. Jan;Plan;Process;Schedule Manager;View two baselines of a Schedule on Gantt
06. Jan;Plan;Requirements;Requirements Management;Traceability matrix usability improvements
06. Jan;Plan;Systems;MBSE - System Verification and Model Management;Improve import/export performance of large sized model (>10000 elements)
06. Feb;Deliver;Analytics;Classification;Import classification hierarchy and class definitions directly in Active Workspace for Basic Classification
06. Feb;Deliver;Analytics;Classification;Classify the objects right within your application context
06. Feb;Deliver;Analytics;Classification;Add classified objects without losing your application context
06. Feb;Deliver;Analytics;Search and Analytics - Reporting and Analytics;Easily add, modify, and arrange your reports on your Dashboard
06. Feb;Deliver;Analytics;Search and Analytics - Search;Search and discover data indexed from external applications
06. Feb;Deliver;Analytics;Search and Analytics - Search;Search NX part attributes, PMI notes and labels from Active Workspace with keyword search
06. Feb;Deliver;Analytics;Search and Analytics - Search;Configure Active Workspace to display count of inaccessible search results
06. Feb;Deliver;Analytics;Search and Analytics - Search;Number of advanced search  results returned by is displayed as a useful summary
06. Feb;Deliver;Analytics;Search and Analytics - Search;Configure queries displayed for advanced search
06. Feb;Deliver;Analytics;Search and Analytics - Search;Select multiple filters to apply on search results
06. Feb;Deliver;Analytics;Search and Analytics - Search;New indexer flow to independently build search suggestions
06. Feb;Deliver;Sustainability;Environmental Compliance and Product Sustainability;Maintain compliance with global regulations and compliance portals such as the International Material Data System (IMDS)
06. Feb;Develop;Documents;Document Management;Print markup for temporary summary of markup
06. Feb;Develop;Documents;Document Management;Create a public markup disposition report
06. Feb;Develop;Documents;Document Management;Create a private markup disposition report
06. Feb;Develop;Documents;Document Management;Capture disposition report in context of the document revision
06. Feb;Develop;Documents;Document Management;Launch Adobe Acrobat from Active Workspace
06. Feb;Develop;Simulation;Simulation Process Management;End to end workflows and automation for physical test results management
06. Feb;Develop;Simulation;Simulation Process Management;Improved HEEDS integration including seamless Parameter Consumption
06. Feb;Develop;Visualization;Visualization - Client Side Rendering;Enhancements to visual navigation and exploration
06. Feb;Develop;Visualization;Visualization - Client Side Rendering;Control of data visibility when starting 3D structure visualization
06. Feb;Develop;Visualization;Visualization - Client Side Rendering;Tree-Graphics Selection Performance Improvements
06. Feb;Develop;Visualization;Visualization - Deployability & Infrastructure;Gather Diagnostic Information to support Active Workspace Reporting
06. Feb;Develop;Visualization;Visualization - BOM Integration;More speed and better usability connecting Active Workspace to Lifecycle Visualization using the updated Info Browser
06. Feb;Develop;Visualization;Visualization - BOM Integration;Load pages of product structure in parallel for faster load performance with 3D visualization
06. Feb;Develop;Visualization;Visualization - BOM Integration;Visualize worksets in Active Workspace and Teamcenter Visualization
06. Feb;Foundation;Deployability;Platform - Security - Authorization;Access Manager in Active Workspace
06. Feb;Foundation;Extensibility;Platform - Active Workspace Framework - Extensibility;Leverage React Developer Tools to properly debug your application
06. Feb;Foundation;Extensibility;Platform - Active Workspace Framework - Extensibility;High performing, reactive, reusable, and composable component client framework
06. Feb;Foundation;Extensibility;Platform - Active Workspace Framework - Extensibility;Audit tools uses ESLint to display warnings, errors, and suggestions directly in VS Code
06. Feb;Foundation;Extensibility;Platform - Active Workspace Framework - Extensibility;XRT Editor updated to use Monaco editor, the same editor used in VSCode
06. Feb;Foundation;Extensibility;Platform - Active Workspace Framework - Extensibility;Reuse the same table configuration for multiple table instances
06. Feb;Foundation;Extensibility;Platform - Active Workspace Framework - Extensibility;Updated Action Builder to allow editing the source code for the action’s view model
06. Feb;Foundation;Industry Solutions;Industries - Med Devices;Unique Device Identifier (UDI) management for the European Union
06. Feb;Foundation;Industry Solutions;Industries - PLM for Component Manufacturers;Manufacturing planning and change management for component manufacturers
06. Feb;Foundation;Industry Solutions;Industries - PLM for Component Manufacturers;Execute engineering change processes within PLM for Component Manufacturers
06. Feb;Foundation;Industry Solutions;Industries - PLM for Component Manufacturers;Customer collaboration for component manufacturers
06. Feb;Foundation;Industry Solutions;Industries - PLM for Component Manufacturers;Streamline the engineering release process by submitting multiple items at once
06. Feb;Foundation;Industry Solutions;Industries - Semiconductor Lifecycle Management;Introducing Semiconductor Lifecycle Management
06. Feb;Foundation;Industry Solutions;Industries - Semiconductor Lifecycle Management;Accelerate NPI with pre-defined semiconductor project management templates and characteristics
06. Feb;Foundation;Industry Solutions;Industries - Semiconductor Lifecycle Management;Manage chip design artifacts along with wafer process technology using semiconductor site qualification processes​
06. Feb;Foundation;Industry Solutions;Industries - Semiconductor Lifecycle Management;Leverage Teamcenter Manufacturing for planning front-end and back-end semiconductor manufacturing
06. Feb;Foundation;Industry Solutions;Industries - Semiconductor Lifecycle Management;Ensure end-to-end traceability from product inception to chip manufacture with a digital thread for semiconductor devices​
06. Feb;Foundation;Usability;Platform - Active Workspace Framework - Usability;Page load skeletons and improved selection styling 
06. Feb;Foundation;Usability;Platform - Active Workspace Framework - Usability;High performing, reactive, reusable, and composable component client framework
06. Feb;Foundation;Usability;Platform - Active Workspace Framework - Usability;A movable and resizable alternative for standard command panels
06. Feb;Foundation;Usability;Platform - Active Workspace Framework - Usability;Improved usability and productivity of dropdowns
06. Feb;Foundation;Usability;Platform - Active Workspace Framework - Usability;Exposed Performance Monitor 
06. Feb;Foundation;Usability;Platform - Active Workspace Framework - Usability;Increased coverage for logging and performing more commands 
06. Feb;Foundation;Usability;Platform - Active Workspace Framework - Usability;A new full-screen component enables any component to be taken to full screen
06. Feb;Foundation;Usability;Platform - Active Workspace Framework - Usability;Now possible to visually distinguish selections
06. Feb;Plan;Bill of Materials;Color BOM;Use a generic or less finish part to serve as the engineering template for colored parts and material specifications
06. Feb;Plan;Bill of Materials;Color BOM;Manage valid color combination definitions based on color variability scope
06. Feb;Plan;Bill of Materials;Color BOM;Automate the explosion of generic parts to color parts based on color rules
06. Feb;Plan;Bill of Materials;Design BOM Alignment;Migration utilities for from Multi Structure Manager alignment to Design BOM alignment 
06. Feb;Plan;Bill of Materials;Design BOM Alignment;Author and manage coordinated evolution of a single EBOM of a product with multi domain  commercial parts using Design BOM Alignment
06. Feb;Plan;Bill of Materials;Design BOM Alignment;Control evolution of impacted Parts while performing automated EBOM updates from modified Designs through a configurable system preference
06. Feb;Plan;Bill of Materials;Design BOM Alignment;Control automated generation of summarized EBOM with quantity and alignment from Design Occurrences under organizational nodes
06. Feb;Plan;Bill of Materials;Design BOM Alignment;Leverage the power of Workset for collaborative EBOM with aligned Design for visual engineering analysis
06. Feb;Plan;Bill of Materials;Design BOM Alignment;Navigate and view the EBOM home page with relevant EBOM data and collaboration data dashboards tailored for a product release engineering role
06. Feb;Plan;Bill of Materials;Design BOM Alignment;Leverage out-of-the-box EBOM tree views based on column configurations of EBOM properties for EBOM authoring and configuration
