service_library;service;deprecated_operation;description;deprecated_in;removal_targeted_in
Ase0SoaActiveworkspacesyseng;Diagrammanagement;Ase0::Services::Activeworkspacesyseng::_2012_10::Diagrammanagement::createConnections;There is no replacement.;2506;2712
Ase0SoaActiveworkspacesyseng;Diagrammanagement;Ase0::Services::Activeworkspacesyseng::_2012_10::Diagrammanagement::createTracelinks;There is no replacement.;2506;2712
Ase0SoaActiveworkspacesyseng;Diagrammanagement;Ase0::Services::Activeworkspacesyseng::_2012_10::Diagrammanagement::deleteConnections;There is no replacement.;2506;2712
Ase0SoaActiveworkspacesyseng;Diagrammanagement;Ase0::Services::Activeworkspacesyseng::_2012_10::Diagrammanagement::getChildOccsPortsConnections;There is no replacement.;2506;2712
Ase0SoaActiveworkspacesyseng;Diagrammanagement;Ase0::Services::Activeworkspacesyseng::_2012_10::Diagrammanagement::getDiagramLegend;"This operation does not support ability to consider display rules for returned types
and ability to define scope for creation of any category types. Use the getDiagramLegend4 service operation.";10.01.2005;2712
Ase0SoaActiveworkspacesyseng;Diagrammanagement;Ase0::Services::Activeworkspacesyseng::_2014_11::Diagrammanagement::getDiagramLegend2;This operation does not support ability to consider display rules for returned types and ability to define scope for creation of any category types. Use the getDiagramLegend4 service operation.;10.01.2005;2712
Ase0SoaActiveworkspacesyseng;Diagrammanagement;Ase0::Services::Activeworkspacesyseng::_2014_11::Diagrammanagement::getDiagramLegend3;This operation does not support ability to define scope for creation of any category types. Use the getDiagramLegend4 service operation.;10.01.2005;2712
Ase0SoaActiveworkspacesyseng;Diagrammanagement;Ase0::Services::Activeworkspacesyseng::_2015_10::Diagrammanagement::getDiagramLegend4;This operation is deprecated. Use getDiagramLegend5 operation.;ActiveWorkspace4.0;2712
Cae0SoaSimproc;Simulationtoollaunch;Cae0::Services::Simproc::_2014_12::Simulationtoollaunch::executeSimulationToolLaunch;Use the executeSimulationToolLaunch operation from the Cae0::Services::Simproc::_2015_10 namespace.;10.01.2005;2712
Cae0SoaSimproc;Simulationtoollaunch;Cae0::Services::Simproc::_2016_05::Simulationtoollaunch::executeSimulationToolLaunch;Use the executeSimulationToolLaunch operation from the Cae0::Services::Simproc::_2017_11 namespace.;11. Apr;2712
Cae0SoaSimproc;Simstructuremanagement;Cae0::Services::Simproc::_2017_05::Simstructuremanagement::executeStructureMap;Use the generateCAEStructure operation.;11. Jun;2712
Cae0SoaSimproc;Simulationtoollaunch;Cae0::Services::Simproc::_2017_11::Simulationtoollaunch::executeSimulationToolLaunch;Use the executeSimulationToolLaunch operation from the Cae0::Services::Simproc::_2020_01 namespace.;12. Mrz;2712
Cae0SoaSimproc;Simulationtoollaunch;Cae0::Services::Simproc::_2020_01::Simulationtoollaunch::executeSimulationToolLaunch;use the executeSimulationToolLaunch operation from the Cae0::Services::Simproc::_2023_06 namespace.;14. Mrz;2712
Cpd0SoaCpdcore;Datamanagement;Cpd0::Services::Cpdcore::_2011_06::Datamanagement::createOrUpdateDesignControlElements;Use the createOrUpdateDesignControlElements operation from the _2012_06 namespace.;09.01.2001;2712
Cpd0SoaCpdcore;Realization;Cpd0::Services::Cpdcore::_2011_06::Realization::updateWorksetSubsetContent;Use the updateSubsetsContent operation.;11.02.2003;2712
Crt1SoaValidationcontractaw;Vcmanagement;Crt1::Services::Validationcontractaw::_2018_05::Vcmanagement::validateAnalysisRequest;The service operation integrates with LMS simulation tools  however  latest integration with Simulation tools is done using Tc-Sim. Customers should use Tc-Sim based integration with Verification Management.;2312;2712
Crt1SoaValidationcontractaw;Vcmanagement;Crt1::Services::Validationcontractaw::_2021_06::Vcmanagement::getVerificationRequestInfo;This operation is deprecated. Please use getVerificationRequestInfo2.;2512;2912
Dia0SoaDiagramming;Diagramming;Dia0::Services::Diagramming::_2015_07::Diagramming::findDiagrams;This operation is being deprecated  use findDiagrams2 instead.;2506;2712
Dia0SoaDiagramming;Diagramming;Dia0::Services::Diagramming::_2015_07::Diagramming::queryDiagramElementsAssociatedWith;Deprecated. See Support Announcement 2606.;2606;2912
Dia0SoaDiagramming;Diagramming;Dia0::Services::Diagramming::_2015_07::Diagramming::queryDiagramElementsNotAssociated;Deprecated. See Support Announcement 2606.;2606;2912
Dia0SoaDiagramming;Diagramming;Dia0::Services::Diagramming::_2015_07::Diagramming::queryElementsNotInDiagram;Deprecated. See Support Announcement 2606.;2606;2912
Dia0SoaDiagramming;Diagramming;Dia0::Services::Diagramming::_2017_05::Diagramming::findDiagrams2;Deprecated. See Support Announcement 2606.;2606;2912
Eda0SoaEdmdcollab;Edmdcollaboration;Eda0::Services::Edmdcollab::_2020_01::Edmdcollaboration::getCollaborationData;Use the getCollaborationData2 operation from the _2020_04 namespace.;12. Apr;2712
Eda0SoaEdmdcollab;Edmdcollaboration;Eda0::Services::Edmdcollab::_2020_01::Edmdcollaboration::publishIDX;Use the publishIDX2 operation from the _2020_04 namespace.;12. Apr;2712
Evm1SoaViewmgmtaw;Viewdatamanagement;Evm1::Services::Viewmgmtaw::_2019_06::Viewdatamanagement::executeRecipes2;This operation is deprecated as it does not support 1) Multiple BOM 2) Resolving output results to occurrence Use executeRecipes3 operation.;ActiveWorkspace5.0;2712
Evm1SoaViewmgmtaw;Viewdatamanagement;Evm1::Services::Viewmgmtaw::_2020_05::Viewdatamanagement::executeRecipes3;Deprecated. See Support Announcement 2606.;2606;2912
Fnd0SoaDiagramming;Diagrammanagement;Fnd0::Services::Diagramming::_2011_06::Diagrammanagement::createDiagram;Deprecated. See Support Announcement 2312.;2312;2712
Fnd0SoaDiagramming;Diagrammanagement;Fnd0::Services::Diagramming::_2011_06::Diagrammanagement::createOrUpdateTemplate;Use the createOrUpdateTemplate operation from the 2012_09 namespace.;10;2712
Fnd0SoaDiagramming;Diagrammanagement;Fnd0::Services::Diagramming::_2011_06::Diagrammanagement::getDiagramMembers;Deprecated. See Support Announcement 2312.;2312;2712
Fnd0SoaDiagramming;Diagrammanagement;Fnd0::Services::Diagramming::_2011_06::Diagrammanagement::openDiagram;Deprecated. See Support Announcement 2312.;2312;2712
Fnd0SoaDiagramming;Diagrammanagement;Fnd0::Services::Diagramming::_2011_06::Diagrammanagement::saveDiagram;Deprecated. See Support Announcement 2312.;2312;2712
Fnd0SoaDiagramming;Diagrammanagement;Fnd0::Services::Diagramming::_2012_09::Diagrammanagement::createOrUpdateTemplate;Deprecated. See Support Announcement 2312.;2312;2712
Fnd0SoaDiagramming;Dndmanagement;Fnd0::Services::Diagramming::_2014_06::Dndmanagement::createAndPaste;Deprecated. See Support Announcement 2312.;2312;2712
Fnd0SoaDiagramming;Dndmanagement;Fnd0::Services::Diagramming::_2014_06::Dndmanagement::createConnectionPortsAndConnect;Deprecated. See Support Announcement 2312.;2312;2712
Fnd0SoaEditcontext;Datamanagement;Fnd0::Services::Editcontext::_2014_12::Datamanagement::setEditContext;Use the setChangeContext2 operation from the _2016_10 namespace.;11.02.2003;2712
Fnd0SoaEditcontext;Datamanagement;Fnd0::Services::Editcontext::_2016_04::Datamanagement::setChangeContext;Use the setChangeContext2 operation from the _2016_10 namespace.;11.02.2003;2712
Mdc0SoaMdconnectivity;Mdconnectivity;Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::createOrUpdateElementGroups;Deprecated. See Support Announcement 2606.;2606;2912
Mdc0SoaMdconnectivity;Mdconnectivity;Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::createOrUpdateModelElements;Deprecated. See Support Announcement 2606.;2606;2912
Mdc0SoaMdconnectivity;Mdconnectivity;Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::findConnectionsOnPort;Deprecated. See Support Announcement 2606.;2606;2912
Mdc0SoaMdconnectivity;Mdconnectivity;Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::findPorts;Deprecated. See Support Announcement 2606.;2606;2912
Mdc0SoaMdconnectivity;Mdconnectivity;Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::findPortsGroups;Deprecated. See Support Announcement 2606.;2606;2912
Mdc0SoaMdconnectivity;Mdconnectivity;Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::getConditionalElemGroups;Deprecated. See Support Announcement 2606.;2606;2912
Mdc0SoaMdconnectivity;Mdconnectivity;Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::getIdentity;Deprecated. See Support Announcement 2606.;2606;2912
Mdc0SoaMdconnectivity;Mdconnectivity;Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::getOrderedElementGroups;Deprecated. See Support Announcement 2606.;2606;2912
Mdc0SoaMdconnectivity;Mdconnectivity;Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::getRealizedLogicalElements;Deprecated. See Support Announcement 2606.;2606;2912
Mdc0SoaMdconnectivity;Mdconnectivity;Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::insertConnectionElement;Deprecated. See Support Announcement 2606.;2606;2912
Mdc0SoaMdconnectivity;Mdconnectivity;Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::insertOrderedElementGroupElements;Deprecated. See Support Announcement 2606.;2606;2912
Mdc0SoaMdconnectivity;Mdconnectivity;Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::queryConnectionModelElements;Deprecated. See Support Announcement 2606.;2606;2912
Mdc0SoaMdconnectivity;Mdconnectivity;Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::queryModelElementsOfElementGroup;Deprecated. See Support Announcement 2606.;2606;2912
Mdc0SoaMdconnectivity;Mdconnectivity;Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::queryOrderedElementGroupByPartition;Deprecated. See Support Announcement 2606.;2606;2912
Mdc0SoaMdconnectivity;Mdconnectivity;Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::queryParentElementGroup;Deprecated. See Support Announcement 2606.;2606;2912
Mdc0SoaMdconnectivity;Mdconnectivity;Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::reverseOrderedElementGroupElements;Deprecated. See Support Announcement 2606.;2606;2912
Mdc0SoaMdconnectivity;Mdconnectivity;Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::splitOrderedElementGroupElements;Deprecated. See Support Announcement 2606.;2606;2912
Mdc0SoaMdconnectivity;Mdconnectivity;Mdc0::Services::Mdconnectivity::_2016_10::Mdconnectivity::findConnectionsOnPort2;Deprecated. See Support Announcement 2606.;2606;2912
Mdc0SoaMdconnectivity;Mdconnectivity;Mdc0::Services::Mdconnectivity::_2016_10::Mdconnectivity::queryParentElementGroup2;Deprecated. See Support Announcement 2606.;2606;2912
Mdc0SoaMdconnectivity;Mdconnectivity;Mdc0::Services::Mdconnectivity::_2017_11::Mdconnectivity::createOrUpdateElementGroups2;Deprecated. See Support Announcement 2606.;2606;2912
Mdc0SoaMdconnectivity;Mdconnectivity;Mdc0::Services::Mdconnectivity::_2017_11::Mdconnectivity::createOrUpdateModelElements2;Deprecated. See Support Announcement 2606.;2606;2912
Mdl0SoaModelcore;Datamanagement;Mdl0::Services::Modelcore::_2011_06::Datamanagement::reviseObjects;Use the reviseObjects operation from the Core Datamanagement.;11. Feb;2712
Mei0SoaMesinteg;Release;Mei0::Services::Mesinteg::_2013_05::Release::applyReleaseStatusToLines;this operation is obsolete  there is no replacement.;2412;2712
Mei0SoaMesinteg;Release;Mei0::Services::Mesinteg::_2013_05::Release::createReleaseUpdatePackage;this operation is obsolete  there is no replacement.;2412;2712
Mei0SoaMesinteg;Release;Mei0::Services::Mesinteg::_2013_05::Release::findReleaseCandidates;this operation is obsolete  there is no replacement.;2412;2712
Mei0SoaMesinteg;Release;Mei0::Services::Mesinteg::_2013_05::Release::isUpdateAllowed;this operation is obsolete  there is no replacement.;2412;2712
Mei0SoaMesinteg;Release;Mei0::Services::Mesinteg::_2013_05::Release::openPreviousReleasedVersion;this operation is obsolete  there is no replacement.;2412;2712
Mei0SoaMesinteg;Release;Mei0::Services::Mesinteg::_2014_06::Release::applyReleaseStatusToLines;this operation is obsolete  there is no replacement.;2412;2712
Mei0SoaMesinteg;Release;Mei0::Services::Mesinteg::_2014_12::Release::executionDataExport;this operation is obsolete  there is no replacement.;2412;2712
Mei0SoaMesinteg;Release;Mei0::Services::Mesinteg::_2015_03::Release::setExecutionIdAndRevisionRule;this operation is obsolete  there is no replacement.;2412;2712
Mei0SoaMesinteg;Release;Mei0::Services::Mesinteg::_2015_10::Release::executionDataExport2;this operation is obsolete  there is no replacement.;2412;2712
Mei0SoaMesinteg;Release;Mei0::Services::Mesinteg::_2016_09::Release::createReleaseUpdatePackage2;this operation is obsolete  there is no replacement.;2412;2712
Mei0SoaMesinteg;Release;Mei0::Services::Mesinteg::_2016_09::Release::executionDataExport3;this operation is obsolete  there is no replacement.;2412;2712
Mei0SoaMesinteg;Release;Mei0::Services::Mesinteg::_2017_11::Release::findWorkOrderStatusProps;this operation is obsolete  there is no replacement.;2412;2712
Mes0SoaMes;Workinstructions;Mes0::Services::Mes::_2010_09::Workinstructions::loadWorkInstructionDoc;Use the loadWorkInstructionDoc operation from the _2012_09 namesace.;10;2712
Mes0SoaMes;Workinstructions;Mes0::Services::Mes::_2010_09::Workinstructions::saveWorkInstructionDoc;Use the saveWorkInstructionDoc operation from the _2012_09 namesace.;10;2712
Mes0SoaMes;Workinstructions;Mes0::Services::Mes::_2012_09::Workinstructions::loadWorkInstructionDoc;This operation is obsolete  there is no replacement.;2406;2712
Mes0SoaMes;Workinstructions;Mes0::Services::Mes::_2012_09::Workinstructions::saveWorkInstructionDoc;This operation is obsolete  there is no replacement.;2406;2712
Mes0SoaMes;Workinstructions;Mes0::Services::Mes::_2013_05::Workinstructions::loadWorkInstructionDoc;This operation is obsolete  there is no replacement.;2406;2712
Mes0SoaMes;Workinstructions;Mes0::Services::Mes::_2013_05::Workinstructions::saveWorkInstructionDoc;This operation is obsolete  there is no replacement.;2406;2712
Prg0SoaPrograminfra;Programmanagement;Prg0::Services::Programinfra::_2016_04::Programmanagement::clonePlanHierarchy;Cloning of Plan artifacts is supported with generic 'Save As' operation with Deep Copy Rules.;14. Jan;2712
Prg0SoaPrograminfra;Programmanagement;Prg0::Services::Programinfra::_2016_10::Programmanagement::clonePlanHierarchyWithProject;Cloning of Plan artifacts is supported with generic 'Save As' operation with Deep Copy Rules.;14. Jan;2712
Ptn0SoaPartition;Partitionmanagement;Ptn0::Services::Partition::_2011_06::Partitionmanagement::getChildren;Use the getChildren operation from the _2014_12 namespace.;10.01.2003;2712
