artifact_type;obsoleted_artifact;header_file;library;replacement_artifact;deprecated_in;obsoleted_in
ITK function;AOM_UIF_ask_values;tccore/aom_prop.h;libtccore;AOM_ask_displayable_values;11. Jan;2312
ITK function;AOM_bulk_save_instances;tccore/aom.h;libtccore;AOM_bulk_save_instances_partial_errors;11. Feb;2312
ITK function;APPR_ask_all_attr_values;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_ask_appr_root;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_ask_attr_list;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_ask_attr_mapping;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_ask_attr_mapping_as_string;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_ask_attr_mappings;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_ask_attr_name;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_ask_attr_value;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_ask_attr_values;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_ask_component_bom_view;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_ask_component_item;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_ask_is_valid;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_ask_mapping_external;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_ask_named_attr_values;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_ask_occurrence;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_ask_parent;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_ask_transform;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_ask_validity_dates;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_ask_validity_max_date;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_ask_validity_max_unit_no;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_ask_validity_min_date;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_ask_validity_min_unit_no;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_ask_validity_unit_nos;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_create_attr_mapping;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_create_import_updater;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_create_incr_updater;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_create_pre_release_updater;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_create_updater;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_create_working_updater;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_define_attr;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_delete_instances_of_attr;appr/appr.h;libappr;No replacement;13. Jan;2312
ITK function;APPR_extent;appr/appr.h;libappr;No replacement;13. Jan;2312
